name,prompt,negative_prompt
naifu基础起手式,"masterpiece, best quality","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,artist name"
橘子3AOM3,"masterpiece,best quality,1girl,","(worst quality, low quality:1.4),extra fingers,fewer fingers,futa,"
Grapefruit,"masterpiece,best quality,1girl,","(worst quality, low quality:1.4),extra fingers,fewer fingers,"
merongmix++,"(masterpiece:1.1),(best quality:1.1),1girl","(low quality, worst quality:1.4), (realistic:1.0),"
高质壁纸,"masterpiece, best quality, 8k, finely detailed beautiful eyes, vividcolor, beautiful detailed face, Cinematic light, ray tracing, high resolution illustration, colorful, 8k wallpaper, highres",
精致女孩,an extremely delicate and beautiful girl,
镜头虚化,"depth of field, blurry background, blurry foreground, ",
脸部增强,"delicate, beautiful, beautiful face, beautiful eyes, beautiful girl, delicate face, delicate girl,",
画面增强,"high resolution illustration, colorful, 8k wallpaper, highres",
光线增强,"Cinematic light, ray tracing",
细节增强,"hyper detailed,ultra-detailed",
负面扩展,,"artist name, twisted torso, (((fusion), extra, bad, fewer, missing), fist,clenched hand)"
超高细节,"8k wallpaper,(best quality:1.12),(detailed:1.12),(intricate:1.12),(ultra-detailed:1.12),(highres:1.12)",
长T恤,"t-shirt, long t-shirt, narrow waist t-shirt, t-shirt over hips, short dress","bare, nafw, sagging breast, crop top"
donko-mix,"masterpiece,best quality,1girl,1boy,nsfw,(sex:1.5),","(worst quality, low quality, normal quality, low resolution, lowres:1.4), 3d, blurry, text, artist name, signature, multiple views, extra digits, fewer digits, halo, multicolored hair,"
